taskID,employeeID,taskName,taskDate,tasksCompeleted
1,1,Code Review,2024-07-01,4
2,2,Blog Post Writing,2024-07-01,5
3,3,Employee Survey,2024-07-01,2
4,4,Server Configuration,2024-07-01,3
5,5,Invoice Preparation,2024-07-01,6
6,1,Feature Testing,2024-07-02,3
7,2,SEO Optimization,2024-07-02,4
8,3,Recruitment Screening,2024-07-02,1
9,4,Load Balancer Setup,2024-07-02,5
10,5,Travel Reimbursement Audit,2024-07-02,2
11,1,Unit Test Coverage,2024-07-03,4
12,2,Campaign Strategy Call,2024-07-03,3
13,3,Benefits Evaluation,2024-07-03,0
14,4,Log Monitoring Setup,2024-07-03,5
15,5,Tax Document Review,2024-07-03,1
16,1,UI Mockups,2024-07-04,5
17,2,Press Release Draft,2024-07-04,3
18,3,Conflict Resolution Plan,2024-07-04,1
19,4,Firewall Rules Update,2024-07-04,4
20,5,Cost Analysis,2024-07-04,3
21,1,Sprint Planning,2024-07-05,3
22,2,Ad Campaign A/B Test,2024-07-05,4
23,3,Workplace Safety Review,2024-07-05,2
24,4,System Health Check,2024-07-05,5
25,5,Customer Refund Review,2024-07-05,2
26,1,Version Release Prep,2024-07-06,4
27,2,Product Landing Page,2024-07-06,3
28,3,Employee Onboarding Call,2024-07-06,1
29,4,Cloud Cost Optimization,2024-07-06,4
30,5,Pending Invoice Check,2024-07-06,2
